,80%
MNXM149_e,0.00022463163319108768
MNXM14_c,1000.0416057652068
MNXM14_e,0.011313757050686714
MNXM14_m,0.003702349681418444
MNXM14_r,500.0014614874624
MNXM14_x,500.0015151922234
MNXM150_c,0.0008141302066564139
MNXM150_e,0.0
MNXM151_c,500.0124959860702
MNXM151_e,0.01116819006609146
MNXM151_m,0.001541480111187123
MNXM152_c,0.01208543418642719
MNXM152_e,0.0
MNXM152_m,0.009541925809442965
MNXM1530_e,0.0
MNXM1543_g,4.509059450735417e-05
MNXM154_c,1000.0171740404567
MNXM154_e,0.012729547567573718
MNXM154_m,500.00125118464655
MNXM154_x,500.00159372924156
MNXM1560_c,0.0010631422352666796
MNXM1560_e,0.0010631422352666796
MNXM1564_c,0.0
MNXM156_c,0.0005572815888399418
MNXM156_e,0.0005572815888399418
MNXM157161_e,0.0
MNXM1572_c,0.0
MNXM1572_m,500.02114760665773
MNXM157_c,0.0
MNXM157_e,0.0
MNXM158_c,0.00027291248647998145
MNXM158_e,0.0
MNXM15900_c,0.009442470323720585
MNXM159_c,0.0004459911511458137
MNXM159_m,0.0002562949148378434
MNXM160_c,0.03508178233895139
MNXM160_r,0.020064119273330842
MNXM1617_c,0.0
MNXM1617_m,0.03550862944996545
MNXM161_c,0.0034783053757076964
MNXM161_e,0.0
MNXM1633_c,0.0028688656757273777
MNXM1633_m,0.0031705998867542634
MNXM163_e,0.0
MNXM1646_e,0.0
MNXM164_m,0.0
MNXM16535_c,5.829e-05
MNXM1653_e,0.0
MNXM165_e,0.0
MNXM1663_m,0.0005773025571714722
MNXM1671_m,0.0
MNXM167_e,0.0
MNXM1680_e,0.0
MNXM16840_g,0.0
MNXM16841_g,0.0
MNXM16842_g,0.0
MNXM168_c,0.004556245846951136
MNXM168_e,0.002652409027007252
MNXM1695_e,0.0
MNXM16_c,2500.004316146598
MNXM16_m,500.00011273320024
MNXM16_r,500.00015426504746
MNXM1715_c,500.00074994563147
MNXM1715_n,500.0
MNXM17161_r,0.0
MNXM17162_r,0.0
MNXM1721_c,500.0
MNXM1721_m,500.0
MNXM172_m,0.0003249571747119262
MNXM173_c,4500.029623138136
MNXM173_e,1.3157066992184598e-05
MNXM173_m,500.0285091994827
MNXM173_r,3500.0007925693544
MNXM173_x,0.013331329044954167
MNXM1744_c,0.013587838736205367
MNXM1747_m,0.0
MNXM174_c,0.018449388982112812
MNXM174_x,0.00011971797144789151
MNXM17507_r,0.0
MNXM175_c,0.0060568004124910806
MNXM175_e,0.00238372561915412
MNXM1774_e,0.0
MNXM1774_x,0.00098816093777917
MNXM1779_e,0.0
MNXM1793_c,500.0174178212349
MNXM179_c,0.14646695383868413
MNXM179_e,0.07565791976554692
MNXM179_m,0.012114911988419408
MNXM179_x,0.003908989730689427
MNXM17_c,500.0511313274146
MNXM17_e,0.004029695850186836
